site_da_vaga,link_site,link_origem,data_publicacao,data_expiracao,data_coleta,posicao,senioridade,titulo_da_vaga,nome_empresa,cidade,estado,modalidade,contrato,regime,pcd,codigo_vaga,descricao,skills
Glassdoor,"https://www.glassdoor.com.br/job-listing/analista-de-geoprocessamento-e-aerolevantamentos-projeta-sustentavel-ltda-JV_IC2514646_KO0,48_KE49,73.htm?jl=1009398404533",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=000001922909571e9616ac67615e3534&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_fd21c82b&cb=1727265331088&jobListingId=1009398404533&jrtk=5-yul1-3-1i8kgilq6jn3t801,2024-09-07,,2024-09-25,Geoprocessamento,,Analista de Geoprocessamento e Aerolevantamentos,PROJETA SUSTENTAVEL LTDA,"Belo Horizonte, Minas Gerais",MG,,,,,1009398404533,"O Analista de Geoprocessamento e Aerolevantamentos é o profissional que irá realizar análises de dados geoespaciais em ambienta GIS, manuseio e produção de mapas temáticos, bases cartográficas e topográficas. E deverá portanto possuir conhecimentos técnicos e habilidades em programação, bases de dados e geoestatística, geografia aplicada à área ambiental, topografia, capacidade resolutiva e proatividade, dentre outras.
Dentre as suas principais atividades estão:
Elaboração e formatação de base de dados;
Análise de dados geoespaciais;
Produção de mapas temáticos diversos;
Realização de aerolevantamentos com VANT;
Processamento de dados fotogramétricos;
Produção de dados topográficos a partir de orthophoto;
Análises geoespaciais e produção de dados ambientais;
Elaboração de relatórios técnicos;",['GIS']
Glassdoor,"https://www.glassdoor.com.br/job-listing/analista-de-geoprocessamento-brintell-solucoes-tecnologicas-sociedade-limitada-JV_IC2494161_KO0,28_KE29,78.htm?jl=1009386200405",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&tgt=APPLY_START&s=344&guid=0000019229099bdfb9a403dbd23cc293&src=GD_JOB_VIEW&t=NS&vt=w&ea=1&cs=1_c72ab324&cb=1727265348700&jobListingId=1009386200405&jrtk=5-yul1-3-1i8kgj7152gdg001,2024-08-30,,2024-09-25,Geoprocessamento,,Analista de Geoprocessamento,BRINTELL SOLUCOES TECNOLOGICAS SOCIEDADE LIMITADA,"Brasília, Distrito Federal",Distrito Federal,,,,,1009386200405,"Buscamos um profissional inovador, comprometido e com expertise em geoprocessamento para compor o time.
Responsabilidades:
Fornecer suporte técnico e analíticos para projetos e iniciativas relacionados à geografia, cartografia, planejamento urbano, meio ambiente, recursos naturais, agronegócio e outras áreas.
Elaborar e desenvolver mapas temáticos através de ferramentas GIS, com a finalidade de espacializar e analisar os dados auxiliando na tomada de decisões das áreas clientes;
Coletar, organizar e processar dados geoespaciais a partir de diferentes fontes, como imagens de satélite, fotografias aéreas, levantamentos topográficos e dados cadastrais;
Utilizando softwares de geoprocessamento, como Sistemas de Informações Geográficas (SIG) e ferramentas de sensoriamento remoto, para manipular, analisar e visualizar dados espaciais.
Desenvolver e implementar procedimentos de geoprocessamento para produção de mapas, modelos digitais de terreno, análises de relevo, zoneamento territorial e outras aplicações.
Realizar análises espaciais para identificar padrões, tendências e relações entre variáveis geográficas, utilizando técnicas como interpolação, sobreposição de camadas, análise de redes e modelagem espacial.
Elaborar relatórios técnicos, mapas temáticos e visualizações gráficas para comunicar resultados de análises espaciais e apresentar informações geográficas de forma clara e compreensível.
Colaborar com equipes multidisciplinares, fornecendo suporte técnico em projetos que envolvem aspectos geográficos e espaciais.
Manter-se atualizado(a) sobre as tendências, tecnologias e metodologias de geoprocessamento, participação de cursos, conferências e eventos relacionados à área.

Diferencial:

Ter tido experiência em grandes projetos;
Ter tido experiência em projetos no segmento de energia, agro, tecnologia;
Ter domínio da ferramenta Arc Gis;
Agilidade de aprendizagem;
Ter flexibilidade e facilidade para adaptação a mudanças quando necessário.","['ArcGIS', 'GIS']"
Glassdoor,"https://www.glassdoor.com.br/job-listing/desenvolvedor-python-s%C3%AAnior-tinnova-JV_KO0,27_KE28,35.htm?jl=1009453039737",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&tgt=APPLY_START&s=344&guid=000001922909ea65917611da3b799eca&src=GD_JOB_VIEW&t=NS&vt=w&ea=1&cs=1_f1b9665f&cb=1727265368818&jobListingId=1009453039737&jrtk=5-yul1-3-1i8kgjqkmgedt801,2024-09-19,,2024-09-25,Geoprocessamento,,Desenvolvedor Python Sênior,Tinnova,,,Trabalho remoto,,,,1009453039737,"Estamos em busca de alguém especial para vir com a gente em mais um desafio!

Temos uma superposição para um Desenvolvedor Python Sênior que seja criativo, proativo, que goste de desenvolvimento ágil e de buscar e dividir conhecimentos. Se você é essa pessoa e gosta de atuar em projetos desafiadores, com o objetivo de fazer a diferença na vida das pessoas, este é o seu lugar!


Requisitos e Qualificações

Superior em Engenharia da Computação, Sistemas de Informação ou áreas

Conhecimento obrigatório em Python, Django, Django Rest Framework, Javascript, Node, PostgreSQL (postgis), Docker e Linux

Diferenciais

Ter Conhecimento em Agronegócios, Geoprocessamento com Django (GeoDjango);

MapServer e/ou GeoServer, Adonisjs, React e Google Earth Engine.

Informações importantes:

Modelo de contratação: PJ
Início: Imediato
Modelo de trabalho: 100% remoto


Oferecemos para essa posição:

Modelo de contratação: PJ;

Day Off de aniversário;

Férias Remuneradas de 15 dias;

Plano de saúde;

Assistência Odontológica.","['Node.js', 'React', 'PostGIS', 'Docker', 'JavaScript', 'PostgreSQL', 'Python']"
Glassdoor,"https://www.glassdoor.com.br/job-listing/est%C3%A1gio-em-meio-ambiente-geoprocessamento-vg-4011-arcadis-JV_IC2514646_KO0,49_KE50,57.htm?jl=1009458823969",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=00000192290a38d3b46809b8d6a5a4aa&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_8cf2e06b&cb=1727265388888&jobListingId=1009458823969&jrtk=5-yul1-3-1i8kgke80i9d2801,2024-09-24,,2024-09-25,Geoprocessamento,,ESTÁGIO EM MEIO AMBIENTE (GEOPROCESSAMENTO)_VG 4011,Arcadis,"Belo Horizonte, Minas Gerais",MG,,,,,1009458823969,"Sobre a Arcadis:
A Arcadis é a empresa líder mundial em soluções sustentáveis de design, engenharia e consultoria para ativos naturais e construídos. Somos mais de 36.000 pessoas, em mais de 70 países, dedicadas a melhorar a qualidade de vida. Todos têm um papel importante a desempenhar. Com o poder de muitas mentes curiosas, podemos resolver os desafios mais complexos do mundo e ter um impacto ainda maiores juntos.
Descrição da vaga:
Atuar na operação e manutenção de processos de coleta, transformação, visualização e análises de dados em diferentes plataformas digitais, auxiliando o desenvolvimento de novos produtos e apoiando a elaboração de relatórios e documentos técnicos, bem como promover a utilização de soluções digitais em toda companhia.
Qualificações e experiência:
Formação superior cursando em Geografia, Geologia, Engenharia Cartográfica, Ciência da Computação ou áreas correlatas;
Conhecimento de ferramentas de geoprocessamento com ArcGIS Pro ou Qgis.
Domínio pacote Office;
Disponibilidade para atuar em modelo híbrido no escritório da Arcadis em Belo Horizonte.
Habilidades desejáveis:
Conhecimento de programação, especialmente em Python
Inglês em nível intermediário
Familiaridade com conceitos de sensoriamento remoto e análise de imagens.
Por que escolher a Arcadis?
Só podemos alcançar nossos objetivos quando todos têm a capacidade de ser o melhor que podem ser. Acreditamos que a contribuição de todos é importante. É por isso que somos pioneiros em uma abordagem baseada em habilidades, onde você pode aproveitar suas experiências e conhecimento único para traçar seu caminho profissional e maximizar o impacto que podemos gerar juntos.
Você realizará um trabalho significativo e, não importa qual seja o cargo, ajudando a oferecer soluções sustentáveis para um planeta mais próspero. Faça sua marca, em sua carreira, colegas, clientes, vida e no mundo ao seu redor.
Juntos, podemos criar um legado duradouro.
Nosso Compromisso com Igualdade, Diversidade, Inclusão e Pertencimento:
Queremos que você possa trazer o melhor de si para o trabalho todos os dias, é por isso que levamos a igualdade e a inclusão a sério e nos responsabilizamos por nossas ações. Nossa ambição é ser um empregador de escolha e oferecer um ótimo ambiente de trabalho para todas as nossas pessoas.
Junte-se à Arcadis. Crie um legado.","['ArcGIS', 'Computer science', 'English', 'Data visualization', 'Python']"
Glassdoor,"https://www.glassdoor.com.br/job-listing/analista-de-sucesso-do-cliente-pleno-cana-de-a%C3%A7%C3%BAcar-bem-agro-integracao-e-desenvolvimento-sa-JV_IC2475496_KO0,51_KE52,92.htm?jl=1009404129777",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=00000192290ac3aea7b60f850d18f05c&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_e8093734&cb=1727265424407&jobListingId=1009404129777&jrtk=5-yul1-3-1i8kglguljcml801,2024-09-12,,2024-09-25,Geoprocessamento,,Analista de Sucesso do Cliente Pleno - Cana-de-Açúcar,BEM AGRO INTEGRACAO E DESENVOLVIMENTO S.A.,Ribeirão Preto,SP,,,,,1009404129777,"Analista de Sucesso do Cliente Pleno - Cana-de-Açúcar
Na BemAgro, temos orgulho de nossa missão. Acreditamos no potencial do agronegócio e sabemos que é a partir dele que o mundo se sustenta. Nosso objetivo é permitir uma agricultura mais eficiente e sustentável por meio da tecnologia de ponta. Como Analista Sucesso Cliente, você desempenhará um papel fundamental na construção de fidelidade e no impulsionamento do crescimento da receita.
Responsabilidades Principais:
Acolhimento e Integração: Receba e integre novos clientes, apresentando-os às soluções da empresa.
Suporte Técnico e Operacional: Forneça suporte eficiente, sanando dúvidas e resolvendo problemas dos clientes.
Monitoramento e Otimização: Acompanhe o uso das soluções pelos clientes e identifique oportunidades de melhoria.
Pesquisas de Satisfação: Realize pesquisas para avaliar a experiência dos clientes e identificar áreas de aprimoramento.
Treinamento e Materiais de Suporte: Auxilie na criação de materiais de suporte e treinamento para os clientes.
Gestão de Clientes Estratégicos: Identifique e atenda às necessidades específicas de clientes estratégicos.
Análise de Dados: Analise dados dos clientes para identificar oportunidades de upsell e cross-sell.
Qualificações e Conhecimentos Técnicos:
Excel Intermediário
Conhecimento Técnico das Soluções
Mapeamento Aéreo com Drones
Processamento Digital de Imagens
Geoprocessamento
Atualização em Novas Soluções
CRM e Ferramentas de Produtividade
Técnicas de Atendimento ao Cliente e Resolução de Conflitos","['CRM software', 'Construction']"
Glassdoor,"https://www.glassdoor.com.br/job-listing/geoqu%C3%ADmico-j%C3%BAnior-belo-horizonte-golder-associates-JV_IC2514646_KO0,32_KE33,50.htm?jl=1009451146184",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=00000192290b07248b0a2089f7e89fee&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_367ed5ea&cb=1727265441695&jobListingId=1009451146184&jrtk=5-yul1-3-1i8kgm1q4j720801,2024-09-18,,2024-09-25,Geoprocessamento,,Geoquímico Júnior (Belo Horizonte),Golder Associates,"Belo Horizonte, Minas Gerais",MG,,,,,1009451146184,"Geoquímico Júnior (Belo Horizonte)
 - (24001409)
Quem Somos

Com mais de 50.000 pessoas trabalhando em mais de 550 escritórios em 44 países, a WSP é uma das principais empresas de consultoria multidisciplinar do mundo.

Está em nosso DNA, desenvolver projetos que continuarão a nos conectar Valorizamos nosso pessoal, nossa reputação e nosso impacto no futuro. e a apoiar as próximas gerações.

Na WSP, inclusão, diversidade, equidade e pertencimento são princípios fundamentais. Nossos valores nos representam, por isso estamos procurando profissionais comprometidos, colaboradores solidários e inovadores. Valorizamos a diversidade.

Na WSP, somos motivados a inspirar as pessoas certas a fazer parte de nossos objetivos de negócios focados no futuro. Nossa devoção ao trabalho em equipe nos permitiu contribuir para a construção da sociedade e a expandir nossos horizontes. Aqui na WSP, tudo está ao nosso alcance – e ao seu, como funcionário WSP.

Sobre a WSP Brasil

A WSP no Brasil é formada a partir da aquisição da Ecology and Environment do Brasil em 2019 e Golder Associates Brasil em 2021, ambas com mais de 20 anos de experiência no mercado brasileiro. Uma consultoria integrada com atuação em todos os setores, especializada em serviços ambientais e de engenharia, que possui uma equipe de mais de 450 funcionários e escritórios em São Paulo, Rio de Janeiro e Belo Horizonte e atua em todas as regiões do Brasil.

Na WSP as oportunidades são iguais, independente de Raça, Idade, Religião, Sexo, Orientação Sexual, Identidade de Gênero ou Deficiência.

Sobre essa oportunidade

A WSP Brasil está iniciando uma busca por uma pessoa para o cargo de Geoquímico Júnior , para atuar em Belo Horizonte.

Responsabilidades deste cargo

Elaboração de relatórios e memorandos técnicos.
Execução de projetos de sua área de atuação, incluindo atendimento de prazos, orçamento e qualidade técnica.
Execução de trabalhos de campo para planos de amostragem geoquímica, amostragem de água superficial, sedimentos, solos, resíduos, descrição de testemunhos e inventário de pontos de água.
Compilação de dados e informações de banco de dados ambientais.
Análises geoestatísticas e tratamento estatísticos de dados.
Caracterizações hidroquímicas, isotópicas e modelagem hidrogeoquímica.
Organização de dados, tabulação e input para modelo geoquímico de predição de qualidade de água e efluentes gerados por estruturas em áreas de mineração (cavas, pilhas, minas,etc).
Executar trabalhos em campo junto ao cliente.

Qualificações requeridas

Graduação completa em Geologia, Engenharia Ambiental, Engenharia Química, Química ou áreas correlatas.
Registro no CREA.
Inglês avançado.
Espanhol intermediário.

Qualificações preferenciais

Participação de trabalhos de amostragem.
Métodos e procedimentos de QA/QC.
Ensaios laboratoriais.
Caracterização mineralógica.
Estudos de caracterização geoquímica.
Estudos para avaliação de potencial de drenagem ácida e de lixiviação de metais.
Organização de dados e conhecimento básico em software para Modelagem hidrogeoquímica para predição de drenagem ácida e qualidade de água (PHREEQC).
Caracterização hidroquímica (balanço iônico, Diagramas de Piper e Stiff etc.);
Caracterização e estudos isotópicos.
Análise estatística de resultados.
CNH Categoria B.
Disponibilidade para viagens e para atuação no escritório de Belo Horizonte.
Tratamento de dados em Excel.
Uso de software para geoprocessamento de dados, elaboração de mapas em GIS.
Uso de software para caracterização hidroquímica de águas e
Desejável conhecimento básico em programação em linguagem R e Phyton.

O que a WSP Brasil oferece:

A WSP Brasil oferece um conjunto de benefícios e salário compatíveis com o mercado, a possibilidade de aprofundar sua expertise em um ambiente de trabalho dinâmico, flexível e ágil, a participação em projetos multidisciplinares inovadores e colaborativos e treinamento on-the-job e mentoria.

Primary Location BR-MG-Belo Horizonte
Schedule Full-time
Employee Status Regular
Job Posting Sep 18, 2024, 9:12:23 AM","['Statistics', 'Spanish', 'R', 'English', 'Databases', 'Statistical analysis', 'Construction', 'Budgeting', 'GIS']"
Glassdoor,"https://www.glassdoor.com.br/job-listing/analista-ambiental-ican-consultoria-em-rh-JV_IC2508060_KO0,18_KE19,41.htm?jl=1009436920602",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&tgt=APPLY_START&s=344&guid=00000192290b259696af400683b47ed2&src=GD_JOB_VIEW&t=NS&vt=w&ea=1&cs=1_8b2ed936&cb=1727265449523&jobListingId=1009436920602&jrtk=5-yul1-3-1i8kgm9eaia4t801,2024-09-06,,2024-09-25,Geoprocessamento,,ANALISTA AMBIENTAL,ICAN CONSULTORIA EM RH,Uberlândia,MG,,,,,1009436920602,"Empresa líder em Engenharia Ambiental, busca profissional qualificado para atuar como Cartógrafo Pleno em nossa unidade em Uberlândia-MG.Requisitos:Formação superior completa em Geografia, Cartografia, Engenharia Ambiental ou áreas afins.Experiência sólida em produção de cartografia temática e topográfica, utilizando softwares de GIS (ArcGIS, QGIS, etc.).Conhecimento aprofundado em geoprocessamento, incluindo coleta, tratamento e análise de dados geográficos.Habilidade em georreferenciamento de imagens e dados vetoriais, utilizando diferentes técnicas e ferramentas.Domínio de ferramentas de escritório (Pacote Office).Desejável experiência em programação (Python, R) e banco de dados geográficos.Carteira Nacional de Habilitação categoria B.Responsabilidades:Elaborar e atualizar bases de dados geográficos, garantindo a integridade e a acurácia das informações.Produzir mapas temáticos e cartas topográficas, atendendo aos padrões técnicos e normativos.Realizar análise espacial de dados geográficos, utilizando técnicas de geoprocessamento.Desenvolver projetos de geoprocessamento, desde a concepção até a entrega final.Colaborar em projetos multidisciplinares, fornecendo suporte técnico em geotecnologias.Acompanhar o avanço tecnológico na área de cartografia e geoprocessamento, propondo novas soluções e melhorias nos processos.Oferecemos:Remuneração compatível com o mercado.Benefícios: vale-transporte, vale-refeição, plano de saúdeOportunidade de crescimento profissional em uma empresa sólida e em constante expansão.Ambiente de trabalho dinâmico e colaborativo.Se você possui os requisitos acima e busca um desafio profissional em uma empresa inovadora, envie seu currículo!Tipo de vaga: Efetivo CLTPagamento: R$3.000,00 - R$3.500,00 por mês","['ArcGIS', 'Databases', 'Python', 'GIS']"
Glassdoor,"https://www.glassdoor.com.br/job-listing/ambipar-response-es-agente-de-coleta-monitoramento-de-atividade-pesqueira-ambipar-response-es-sa-JV_IC2457818_KO0,73_KE74,96.htm?jl=1009424179081",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=00000192290b7489876cb2e8433c7fe8&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_de504705&cb=1727265469679&jobListingId=1009424179081&jrtk=5-yul1-3-1i8kgmt56ljfk801,2024-08-28,,2024-09-25,Geoprocessamento,,AMBIPAR RESPONSE ES - Agente de Coleta(Monitoramento de Atividade Pesqueira),Ambipar Response ES S/A,"Serra, Espírito Santo",ES,,,,,1009424179081,"Essa oportunidade é para fazer parte da equipe do PROJETO DE MONITORAMENTO DA ATIVIDADE PESQUEIRA (PMAP) das Bacias de
Campos e Espírito Santo. Esse profissional irá trabalhar diretamente com a comunidade local de pescadores de Jacaraípe, Serra/ES, além disso,
buscamos alguém que tenha residência em comunidades pesqueiras e tenha vivência e conhecimento relacionados à pesca local.
RP-1684
Responsabilidades e atribuições

Desenvolver atividades de coleta de dados pesqueiros;
Identificar os tipos de embarcações, os aparelhos de pesca e os tipos
de pescado comumente encontrados;
Preencher e controlar cadastros em fichas de campo;
Reportar os registros de pesca ao supervisor.

Requisitos e qualificações

Ensino fundamental e/ou médio;
Fazer parte da comunidade pesqueira e/ou viver na localidade de Jacaraípe, Serra/ES , onde será realizado o levantamento de dados;
Será um diferencial ter trabalhado em projetos de de Atividade Pesqueira.

Informações adicionais

Vale Alimentação ou Refeição;
Vale transporte
Assistência Médica;
Assistência Odontológica;
Seguro de Vida.
A AMBIPAR RESPONSE ES S/A é um conglomerado de empresas, subsidiário da Ambipar Group, o qual tem como função dar suporte aos clientes nas áreas de Sustentabilidade, Meio Ambiente, Oceanografia, Geoprocessamento, Fornecimento de Mão de Obra Especializada, Sistema de Gerenciamento atuando de forma diferenciada e entregando soluções customizadas como uma plataforma GES - Global Environmental Solutions.
Nossos dias são uma constante evolução e estamos sempre em busca do melhor.",['Data collection']
Glassdoor,"https://www.glassdoor.com.br/job-listing/ambipar-response-es-assistente-administrativo-ambipar-response-es-sa-JV_IC2398785_KO0,45_KE46,68.htm?jl=1009448050751",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=00000192290bc1a883b0336b88b5581f&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_5ab1f84c&cb=1727265489460&jobListingId=1009448050751&jrtk=5-yul1-3-1i8kgngf7m223801,2024-09-16,,2024-09-25,Geoprocessamento,,AMBIPAR RESPONSE ES - Assistente Administrativo,Ambipar Response ES S/A,"Uberaba, Minas Gerais",MG,,,,,1009448050751,"Esta posição é para atuar em novo projeto localizado em Uberaba/MG na base do cliente.
Será apoio na base do projeto sendo responsável pelas frentes administrativas de forma geral tendo interface com demais setores do BackOffice.
﻿RP Nº 1710
Responsabilidades e atribuições

Assessorar na elaboração, separação e/ou organização documentos, dossiês e arquivos de respectivas rotinas administrativas da área de atuação;
Assessorar na emissão e analise de documentos e processos da área como ofícios, atas, minutas, requerimentos, protocolos, contratos, termos aditivos e suas justificativas, etc;
Controlar entrada e saída de correspondências;
Emitir e lançar nota fiscal em sistemas de pagamento quando aplicável na sua área;
Elaborar planilhas e relatórios aplicáveis de sua área;
Participar do planejamento, organização e controle de fluxos de trabalho;
Assessorar na execução de atividades e tarefas operacionais, estudos de natureza administrativa na área de gestão de contratos, envolvendo fiscalização e acompanhamento dos serviços, orientando critérios e processos de sua responsabilidade;
Realizar cadastros e atualizações junto aos órgãos públicos e partes interessadas para soluções, regularizações de processos e de instrumentos jurídicos para tarefas especificadas em contrato e/ou conforme suas responsabilidades;
Realizar recepção, registros e encaminhamento de solicitações, reclamações e outras demandas recebidas para a execução de tarefas e/ou prestação de serviços de acordo com sua área de atuação;
Realizar atividades administrativas apoiando no cumprimento de obrigações legais e contratuais na prestação de serviços;
Elaborar, organizar e controlar documentos provenientes do fluxos de tarefas de sua responsabilidades conforme área de atuação;
Realizar tarefas e rotinas das área administrativa e financeira;
Emitir pedido de compra;
Dirigir Veículo da empresa, se habilitado.

Requisitos e qualificações

Ensino Médio completo;
Desejável cursando formação superior em: Administração de Empresas, Ciências Contábeis, Economia, Engenharia de Produção ou correlatos;
Vivência em atividades administrativas financeiras (interface com sistemas, e-mails, organização de documentos, lançamentos e conferencia de dados, pedidos de compra ou outras relacionados.;
Pacote Office Básico;
Habilidade com sistemas e aplicativos;
Desejável CNH B;
Boa comunicação escrita e verbal, planejamento, organização e disciplina nas tarefas.

Informações adicionais
Você contará ainda com estes benefícios:

Vale Alimentação ou Refeição;
Transporte fornecido pela empresa (ônibus);
Assistência Médica;
Assistência Odontológica;
Seguro de Vida.
﻿Esta oportunidade também é disponível para candidatos PcD.
Mantenha seu cadastro sempre atualizado e deixe seu e-mail e telefone com acesso do WhatsApp. É através destes canais que possivelmente faremos contato.
A AMBIPAR RESPONSE ES S/A é um conglomerado de empresas, subsidiário da Ambipar Group, o qual tem como função dar suporte aos clientes nas áreas de Sustentabilidade, Meio Ambiente, Oceanografia, Geoprocessamento, Fornecimento de Mão de Obra Especializada, Sistema de Gerenciamento atuando de forma diferenciada e entregando soluções customizadas como uma plataforma GES - Global Environmental Solutions.
Nossos dias são uma constante evolução e estamos sempre em busca do melhor.","['Accounting', 'Communication skills']"
Glassdoor,"https://www.glassdoor.com.br/job-listing/t%C3%A9cnico-projetista-sinco-sinaliza%C3%A7%C3%A3o-JV_IC2412711_KO0,18_KE19,36.htm?jl=1009454706553",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&tgt=APPLY_START&s=344&guid=00000192290c64e39bacd4330311ecad&src=GD_JOB_VIEW&t=NS&vt=w&ea=1&cs=1_a85276ff&cb=1727265531268&jobListingId=1009454706553&jrtk=5-yul1-3-1i8kgop8hl6gk801,2024-09-20,,2024-09-25,Geoprocessamento,,Técnico Projetista,Sinco Sinalização,Campina Grande do Sul,PR,,,,,1009454706553,"Se você se considera ágil, organizada, com vontade de fazer acontecer, empática, tem disposição para aprender e para compartilhar o seu conhecimento conosco, essa vaga é sua!Estamos buscando um Técnico Projetista, que terá como principais responsabilidades:Atividades Atribuídas: Atuação na área técnica rodoviária, elaborando desenhos técnicos em autocad para projetos de sinalização viária sob as diretrizes do código de trânsito e das normas técnicas;Além disso, irá efetuar levantamentos e pesquisas para fornecimento de dados relativos a obras e serviços rodoviários;Será considerado um diferencial ter conhecimento em geoprocessamento.Requisitos:Conhecimento em autocad;Possuir técnico em edificações ou curso em áreas correlatas, pacote office intermediário/avançado e boa relação com trabalho em equipe.Tipo de vaga: Tempo IntegralPagamento: Até R$5.000,00 por mês",['AutoCAD']
